cui	drugbank_id
C0162373	DB00472
C0062686	DB00473
C0025668	DB00474
C0008188	DB00475
C0592217	DB00475
C0721352	DB00475
C4255169	DB00475
C4256039	DB00475
C4256040	DB00475
C4256041	DB00475
C4256042	DB00475
C0245561	DB00476
C4256038	DB00476
C0008286	DB00477
C0600062	DB00477
C0699065	DB00477
C0733655	DB00477
C1141638	DB00477
C0035629	DB00478
C0002499	DB00479
C4256035	DB00479
C4256036	DB00479
C4256037	DB00479
C1134588	DB00480
C1135145	DB00480
C1144149	DB00480
C0244404	DB00481
C0538927	DB00482
C0719198	DB00482
C0016972	DB00483
C0591515	DB00483
C0525227	DB00484
C0012093	DB00485
C0068333	DB00486
C1263104	DB00486
C0030771	DB00487
C4256034	DB00487
C0019453	DB00488
C0594753	DB00488
C1448359	DB00488
C0037707	DB00489
C0591170	DB00489
C0006462	DB00490
C0066535	DB00491
C0720692	DB00491
C0118168	DB00492
C0007554	DB00493
C0165921	DB00494
C0733103	DB00494
C0876730	DB00494
C0043474	DB00495
C0529351	DB00496
C0030049	DB00497
C0031406	DB00498
C0016384	DB00499
C0591412	DB00499
C0040377	DB00500
C0008783	DB00501
C4256031	DB00501
C4256032	DB00501
C4256033	DB00501
C0018546	DB00502
C0292818	DB00503
C0678152	DB00503
C0023554	DB00504
C0024008	DB00504
C0077081	DB00505
C0068788	DB00507
C1170029	DB00507
C4256028	DB00507
C4256029	DB00507
C4256030	DB00507
C0040989	DB00508
C0011824	DB00509
C0002238	DB00511
C0050518	DB00511
C0520442	DB00511
C0042313	DB00512
C0699052	DB00512
C0000608	DB00513
C0702045	DB00513
C1448404	DB00513
C4256027	DB00513
C0011816	DB00514
C0008838	DB00515
C0722652	DB00515
C0525133	DB00516
C0051923	DB00517
C0001911	DB00518
C4082528	DB00518
C4082752	DB00518
C0076891	DB00519
C0721596	DB00519
C0537894	DB00520
C0007299	DB00521
C0053122	DB00522
C0281666	DB00523
C0722482	DB00523
C1510845	DB00523
C0025854	DB00524
C0701383	DB00524
C0040379	DB00525
C0723757	DB00525
C4085256	DB00525
C0069717	DB00526
C0012050	DB00527
C0526399	DB00528
C4256026	DB00528
C0070895	DB00529
C0376236	DB00529
C1135135	DB00530
C1135137	DB00530
C0010583	DB00531
C1511594	DB00531
C1880207	DB00531
C0025381	DB00532
C0762662	DB00533
C0008217	DB00534
C0060405	DB00535
C0120446	DB00536
C0008809	DB00537
C0754820	DB00538
C0076836	DB00539
C0028420	DB00540
C0528314	DB00540
C4256021	DB00540
C4256022	DB00540
C4256023	DB00540
C4256024	DB00540
C4256025	DB00540
C0042679	DB00541
C0053091	DB00542
C0002644	DB00543
C0016360	DB00544
C0034261	DB00545
C0034262	DB00545
C0700005	DB00545
C0723004	DB00545
C0050844	DB00546
C0011707	DB00547
C0052761	DB00548
C0718755	DB00548
C0730800	DB00548
C1170274	DB00548
C0378466	DB00549
C0526502	DB00549
C0526503	DB00549
C0033511	DB00550
C0050451	DB00551
C0126013	DB00551
C0030896	DB00552
C0591865	DB00552
C0733530	DB00552
C0025684	DB00553
C0078609	DB00553
C0740123	DB00553
C0740125	DB00553
C0740127	DB00553
C0939735	DB00553
C3850427	DB00553
C0031990	DB00554
C0209263	DB00554
C0687717	DB00554
C0064636	DB00555
C0678180	DB00555
C0937858	DB00556
C0963149	DB00556
C0020404	DB00557
C0216660	DB00558
C0876148	DB00558
