cui	hgnc_id	symbol	entrez_id
C1333347	HGNC:21295	EPS8L1	54869
C1333348	HGNC:21296	EPS8L2	64787
C1333349	HGNC:21297	EPS8L3	79574
C1333350	HGNC:3420	EPS8	2059
C1333351	HGNC:16465	EPSTI1	94240
C1333352	HGNC:15842	ERBIN	55914
C1333355	HGNC:3433	ERCC1	2067
C1333356	HGNC:3434	ERCC2	2068
C1333357	HGNC:3435	ERCC3	2071
C1333358	HGNC:3436	ERCC4	2072
C1333359	HGNC:3437	ERCC5	2073
C1333360	HGNC:3444	ERF	2077
C1333361	HGNC:3490	ETV1	2115
C1333362	HGNC:3493	ETV4	2118
C1333363	HGNC:3500	EVI2B	2124
C1333365	HGNC:3511	EXO1	9156
C1333366	HGNC:3515	EXTL1	2134
C1333367	HGNC:3516	EXTL2	2135
C1333368	HGNC:3527	EZH2	2146
C1333522	HGNC:3541	F3	2152
C1333523	HGNC:3544	F7	2155
C1333524	HGNC:3555	FABP1	2168
C1333525	HGNC:3556	FABP2	2169
C1333526	HGNC:3557	FABP3	2170
C1333527	HGNC:3559	FABP4	2167
C1333528	HGNC:3560	FABP5	2171
C1333530	HGNC:3573	FADD	8772
C1333532	HGNC:3588	FANCG	2189
C1333533	HGNC:16712	FBXW7	55294
C1333535	HGNC:3666	FGF10	2255
C1333536	HGNC:3665	FGF1	2246
C1333537	HGNC:3677	FGF20	26281
C1333538	HGNC:3678	FGF21	26291
C1333539	HGNC:3686	FGF8	2253
C1333540	HGNC:3687	FGF9	2254
C1333541	HGNC:17012	FGFR1OP	11116
C1333542	HGNC:3689	FGFR2	2263
C1333543	HGNC:3690	FGFR3	2261
C1333544	HGNC:3691	FGFR4	2264
C1333547	HGNC:3703	FHL2	2274
C1333548	HGNC:3705	FIBP	9158
C1333565	HGNC:25967	SIDT1	54847
C1333566	HGNC:3762	FLRT3	23767
C1333567	HGNC:3766	FLT3LG	2323
C1333568	HGNC:3765	FLT3	2322
C1333569	HGNC:3767	FLT4	2324
C1333570	HGNC:3788	FOLH1	2346
C1333571	HGNC:3797	FOSB	2354
C1333572	HGNC:3819	FOXO1	2308
C1333573	HGNC:3821	FOXO3	2309
C1333574	HGNC:3826	FPR1	2357
C1333576	HGNC:3944	FRAT1	10023
C1333577	HGNC:3955	FRK	2444
C1333578	HGNC:16971	FRS2	10818
C1333579	HGNC:16970	FRS3	10817
C1333581	HGNC:3973	FSTL3	10272
C1333583	HGNC:4021	KDSR	2531
C1333584	HGNC:4040	FZD2	2535
C1333585	HGNC:4041	FZD3	7976
C1333586	HGNC:4042	FZD4	8322
C1333587	HGNC:4044	FZD6	8323
C1333588	HGNC:4045	FZD7	8324
C1333589	HGNC:4047	FZD9	8326
C1333652	HGNC:4057	G6PD	2539
C1333653	HGNC:14458	GAB2	9846
C1333655	HGNC:4095	GADD45A	1647
C1333658	HGNC:4133	GALR2	8811
C1333659	HGNC:4167	GAS2	2620
C1333660	HGNC:24859	YEATS4	8089
C1333661	HGNC:4166	GAS8	2622
C1333663	HGNC:4170	GATA1	2623
C1333664	HGNC:4191	GCG	2641
C1333665	HGNC:4215	GDF10	2662
C1333666	HGNC:4220	GDF5	8200
C1333667	HGNC:4223	MSTN	2660
C1333668	HGNC:4224	GDF9	2661
C1333669	HGNC:4232	GDNF	2668
C1333670	HGNC:4238	GFI1B	8328
C1333672	HGNC:4244	GFRA2	2675
C1333673	HGNC:4261	GH1	2688
C1333674	HGNC:4265	GHRH	2691
C1333675	HGNC:4271	GIPR	2696
C1333676	HGNC:4272	GIT1	28964
C1333677	HGNC:4273	GIT2	9815
C1333678	HGNC:14373	GLMN	11146
C1333679	HGNC:4332	BICRA	29998
C1333682	HGNC:4333	NOP53	29997
C1333683	HGNC:17493	GMNN	51053
C1333684	HGNC:4380	GNA12	2768
C1333685	HGNC:4390	GNAQ	2776
C1333686	HGNC:4395	GNAZ	2781
C1333687	HGNC:4396	GNB1	2782
C1333688	HGNC:4398	GNB2	2783
C1333689	HGNC:4400	GNB3	2784
C1333690	HGNC:4458	GPI	2821
C1333691	HGNC:4471	GPR17	2840
C1333692	HGNC:4474	CCR10	2826
C1333693	HGNC:4487	GPR32	2854
C1333694	HGNC:4496	GPR39	2863
C1333695	HGNC:4510	KISS1R	84634
C1333696	HGNC:4519	GPR68	8111
C1333697	HGNC:13309	GPRC5C	55890
C1333698	HGNC:4543	GRK4	2868
C1333699	HGNC:4544	GRK5	2869
C1333700	HGNC:4545	GRK6	2870
C1333701	HGNC:17031	GRK7	131890
C1333702	HGNC:4549	GPS1	2873
C1333703	HGNC:4550	GPS2	2874
C1333705	HGNC:4562	GRAP	10750
C1333706	HGNC:4565	GRB14	2888
C1333707	HGNC:4566	GRB2	2885
C1333708	HGNC:4567	GRB7	2886
C1333710	HGNC:4573	GRIA3	2892
C1333711	HGNC:4593	GRM1	2911
C1333712	HGNC:4597	GRM5	2915
C1333713	HGNC:4598	GRM6	2916
C1333714	HGNC:4605	GRP	2922
C1333715	HGNC:4641	GSTT1	2952
C1333716	HGNC:4646	GTF2A1	2957
C1333717	HGNC:4647	GTF2A2	2958
C1333718	HGNC:4648	GTF2B	2959
C1333719	HGNC:4650	GTF2E1	2960
C1333720	HGNC:4651	GTF2E2	2961
C1333721	HGNC:4652	GTF2F1	2962
C1333722	HGNC:4653	GTF2F2	2963
C1333723	HGNC:4655	GTF2H1	2965
C1333724	HGNC:4664	GTF3C1	2975
C1333725	HGNC:4665	GTF3C2	2976
C1333726	HGNC:4666	GTF3C3	9330
C1333727	HGNC:4667	GTF3C4	9329
