doid_id	doid_name	entrez_gene_id	gene_symbol	license	sources
DOID:2531	Hematologic cancer	5475	PPEF1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5552	SRGN	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5582	PRKCG	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5590	PRKCZ	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5595	MAPK3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5599	MAPK8	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5604	MAP2K1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5657	PRTN3	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5728	PTEN		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	5734	PTGER4	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5744	PTHLH		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	5756	TWF1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5770	PTPN1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5771	PTPN2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5781	PTPN11		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	5788	PTPRC	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5795	PTPRJ	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5810	RAD1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5880	RAC2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5885	RAD21	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5914	RARA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5917	RARS	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5925	RB1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5926	ARID4A	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5966	REL		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	5979	RET	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5997	RGS2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6176	RPLP1	CC BY 4.0	GWAS Catalog
DOID:2531	Hematologic cancer	6208	RPS14	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6279	S100A8		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	6281	S100A10	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6320	CLEC11A	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6347	CCL2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6348	CCL3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6361	CCL17	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6382	SDC1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6402	SELL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6446	SGK1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6455	SH3GL1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6494	SIPA1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6580	SLC22A1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6597	SMARCA4	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6622	SNCA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6624	FSCN1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6648	SOD2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6664	SOX11	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6668	SP2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6672	SP100	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6678	SPARC	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	6688	SPI1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	6693	SPN	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6714	SRC	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6772	STAT1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	6774	STAT3		DISEASES|DisGeNET
